,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
42,Costa Rica,CRI,2,9485.71,0.77499998,,3.5,4.666448593,6.927239895,78.12113953
82,Italy,ITA,5,32931.672,0.88099998,60.78300095,2,3.736852646,4.079850197,95.72698975
62,Georgia,GEO,1,7148.5698,0.76800001,3.730000019,5.400000095,3.200925112,1.983309984,92.05198669
175,United Arab Emirates,ARE,3,20310.109,0.83600003,,2.5,5.279840946,,
172,Togo,TGO,4,1036.28,0.484,6.928999901,7.300000191,,4.868460178,
133,Papua New Guinea,PNG,9,1693.54,0.51499999,6.880000114,7.099999905,,,
171,Thailand,THA,7,9295.5703,0.73799998,68.65699768,4.099999905,3.449850321,4.12887001,83.64586639
6,Azerbaijan,AZE,1,9793.3096,0.75800002,9.342000008,4.300000191,3.089141369,2.634660006,
184,United Kingdom,GBR,5,34791.051,0.90799999,64.59700012,2.099999905,4.633322239,5.734489918,98.27998352
86,Kazakhstan,KAZ,1,14098.88,0.79299998,17.42200089,3.599999905,3.581974983,2.787499905,95.94628143
121,Netherlands,NLD,5,42258.352,0.92299998,16.86499977,2.599999905,5.304530621,5.529379845,93.88201904
66,Kiribati,KIR,9,1532.65,0.58600003,0.107000001,,,,
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600029,6.300000191,,,92.2073822
83,Cote d'Ivoire,CIV,4,1354.29,0.46599999,22.52400017,6.699999809,3.562078714,4.729380131,
33,Sri Lanka,LKA,8,5466.8701,0.764,20.54100037,7.800000191,4.644126892,1.925660014,85.42613983
135,Peru,PER,2,9227.1504,0.73699999,30.80900002,6.699999809,2.538634539,3.689779997,78.37956238
148,San Marino,SMR,5,42664.211,,0.034000002,,,2.383729935,
40,Congo,COG,4,2369.8401,0.58999997,,6.800000191,,,
166,Swaziland,SWZ,4,4110.0498,0.54100001,1.105999947,6.900000095,3.798652887,7.049990177,36.21157837
147,St Vincent and the Grenadines,VCT,10,7454.8799,0.72000003,0.109999999,,,,
80,Ireland,IRL,5,46422.07,0.92000002,4.620999813,2.799999952,5.434197426,5.324570179,99.57335663
53,Equatorial Guinea,GNQ,4,15412.43,0.58200002,,6,,,
164,Sudan (2012-),SDN,4,,0.48800001,,8.800000191,,,
69,Guatemala,GTM,2,4438,0.63700002,,6.699999809,2.693367958,2.941740036,46.71841812
123,New Zealand,NZL,5,26481.369,0.91299999,4.554999828,2.099999905,5.318371296,6.336800098,96.4400177
107,Malta,MLT,5,24094.641,0.85299999,0.425000012,4,5.026020527,7.848999977,88.06436157
61,Gabon,GAB,4,14525.28,0.69400001,,5.5,2.875664711,2.666169882,
84,Jamaica,JAM,10,4668.77,0.72899997,2.799000025,7.800000191,3.711759329,6.024670124,73.51493835
1,Albania,ALB,1,8516.7002,0.76200002,,7.099999905,4.111338615,3.539439917,85.2782135
88,Kenya,KEN,4,1494.63,0.55000001,40.70000076,7.5,4.509935379,5.274750233,
106,Mali,MLI,4,1063.26,0.43799999,14.85400009,8.399999619,3.00327611,3.739289999,34.61610031
102,Madagascar,MDG,4,822.62,0.51099998,,6.099999905,2.968793392,2.082040071,31.08041
160,South Africa,ZAF,4,8820.0596,0.66500002,54.14699936,4.900000095,2.218669415,6.029550076,
149,Sao Tome and Principe,STP,4,2150.55,0.565,,7.900000095,,3.756819963,64.42681122
188,Uruguay,URY,2,12804.84,0.79400003,3.453999996,4.400000095,2.90350461,4.356939793,76.34809875
177,Turkey,TUR,3,16900.711,0.764,77.69599915,3.700000048,3.422157049,4.766260147,87.16455078
167,Sweden,SWE,5,39000.91,0.90899998,9.645000458,1.5,4.577005863,7.675089836,96.65155792
129,Marshall Islands,MHL,9,2833.97,,0.054000001,,,,64.46130371
19,Botswana,BWA,4,12770.73,0.69800001,,5.099999905,3.523580313,,
99,Liechtenstein,LIE,5,102243.52,0.91100001,,,,2.556040049,91.53871918
3,Andorra,AND,5,32367.33,0.85699999,,,,2.997809887,
141,Qatar,QAT,3,104049.44,0.85500002,2.045000076,3.099999905,5.820522308,3.607189894,72.4646225
101,Luxembourg,LUX,5,61404.48,0.89600003,0.550000012,2.099999905,4.580255032,4.083879948,84.60346985
138,Portugal,PRT,5,23744.631,0.84100002,10.40100002,2.200000048,4.273322582,5.125589848,93.03502655
131,Pakistan (1971-),PAK,8,2855.55,0.54799998,186.1900024,7,3.381112337,2.464349985,41.17535019
136,Philippines,PHL,7,3953.1001,0.67900002,100.1490021,6.199999809,4.546944141,,67.44245911
154,Sierra Leone,SLE,4,979.95001,0.43099999,6.231999874,8.399999619,2.986086369,2.66166997,
22,Solomon Islands,SLB,9,2113.0601,0.514,0.561999977,6.300000191,,,
68,Grenada,GRD,10,8314.5596,0.75099999,,8.399999619,,,82.35964203
92,Kyrgyzstan,KGZ,1,3010.24,0.662,5.894999981,6.400000095,2.853689194,5.52737999,80.17756653
16,Bhutan,BTN,8,5639.02,0.60399997,0.765999973,6.800000191,4.033873081,5.924600124,62.83831024
95,Lesotho,LSO,4,1539.79,0.495,,7.400000095,4.053547382,,35.2126503
91,Kuwait,KWT,3,64342.711,0.79900002,3.999000072,3.099999905,3.075769186,,83.57884979
35,Chile,CHL,2,15519.08,0.84500003,17.81900024,3.200000048,3.691637039,4.750120163,88.29785919
137,Poland,POL,1,19990.939,0.852,38.01800156,4.400000095,3.566189289,4.91174984,92.54882813
97,Liberia,LBR,4,488.26999,0.42699999,,6.599999905,3.472222328,2.757560015,
67,Greece,GRC,5,25295.27,0.86500001,10.92700005,3.799999952,2.999258995,,95.06738281
116,Mozambique,MOZ,4,852.39001,0.414,25.7329998,7.400000095,2.770460129,6.4832201,19.43997955
127,Norway,NOR,5,57634.77,0.94800001,5.156000137,1.600000024,5.048264027,7.373290062,95.20192719
142,Romania,ROU,1,14563.14,0.79799998,19.95299911,4.5,3.833498478,3.129179955,83.92993927
193,Zambia,ZMB,4,1916.79,0.57599998,,7.800000191,4.328835487,,
179,Tuvalu,TUV,9,3174.05,,0.011,,,,69.80497742
105,Maldives,MDV,8,13349.76,0.70099998,0.335999995,5.599999905,,4.146959782,
55,Eritrea,ERI,4,1007.28,0.41800001,,7.599999905,,,28.41555977
159,Somalia,SOM,4,1436.74,,,9.199999809,,,
39,Comoros,COM,4,972.35999,0.498,0.776000023,7.800000191,,4.868619919,43.93447113
168,Switzerland,CHE,5,50454.41,0.93800002,8.140000343,2.099999905,5.986858368,5.096079826,84.24648285
73,Honduras,HND,2,3303.1399,0.62300003,,6.900000095,3.180157661,5.867750168,49.25936127
161,Zimbabwe,ZWE,4,15997.67,0.50700003,12.45899963,8,4.200081348,8.429329872,44.23696899
162,Spain,ESP,5,31086.35,0.88200003,46.45500183,2.400000095,3.44169116,4.270929813,96.45861816
126,Nigeria,NGA,4,2246.8201,0.52499998,160.3419952,7.099999905,2.852730274,,
36,China,CHN,6,9283.3799,0.73400003,,4.599999905,4.028250217,,
134,Paraguay,PRY,2,4812.9199,0.69199997,6.559000015,5.199999809,2.324439764,4.95539999,66.45951843
76,India,IND,8,4256.79,0.61500001,,5.5,4.156626701,3.84236002,61.75524139
37,Taiwan,TWN,6,33965.871,,23.43400002,,3.908831358,,
27,Belarus,BLR,1,17780.641,0.79799998,9.468000412,3.400000095,,4.990439892,99.46544647
109,Mauritius,MUS,4,10944.54,0.77899998,1.261000037,4.199999809,4.234806538,4.917729855,83.88175964
178,Turkmenistan,TKM,1,13217.39,0.68800002,,5.099999905,,3.055900097,
7,Argentina,ARG,2,15102.61,0.82599998,41.73300171,3,2.98335743,5.325489998,88.2460022
25,Myanmar,MMR,7,5733.3701,0.55199999,51.41899872,5.699999809,2.659119129,,48.25643921
119,Nauru,NRU,9,3130.47,,0.012,,,,71.94534302
157,Vietnam,VNM,7,4147.5698,0.67799997,89.69100189,5.599999905,3.33601141,5.65873003,
87,Jordan,JOR,3,5188.9199,0.741,6.675000191,3.599999905,4.58532095,,81.37625122
31,Cape Verde,CPV,4,3972.6101,0.64600003,0.512000024,8.600000381,3.8919487,4.992450237,69.11386871
48,Denmark,DNK,5,37406.762,0.92299998,5.626999855,1.899999976,4.812749386,8.627109528,89.81745911
46,Czech Republic,CZE,1,23847.08,0.875,10.51200008,2.799999952,3.578998566,4.089019775,
155,Singapore,SGP,7,54268.148,0.92400002,5.46999979,3.299999952,5.797279358,2.915790081,
29,Cameroon,CMR,4,2658.51,0.514,,7.5,3.810850859,3.029900074,43.13555908
12,Bangladesh,BGD,8,1796.64,0.57499999,154.6950073,7.5,3.29314971,1.957260013,57.23989868
20,Brazil,BRA,2,9815.2402,0.75400001,202.7689972,4.099999905,2.720419407,5.99394989,82.82907867
108,Mauritania,MRT,4,2223.01,0.51300001,3.368999958,6.300000191,2.671667814,2.930119991,23.10231972
9,Austria,AUT,5,38868.039,0.89200002,8.543999672,1.5,4.492074966,5.499549866,
104,Malaysia (1966-),MYS,7,12284.27,0.787,30.70899963,4.5,5.258416176,5.195930004,67.99771881
58,Finland,FIN,5,36958.211,0.89300001,5.427000046,2.299999952,5.859115124,7.16809988,94.00318146
132,Panama,PAN,2,15137.04,0.78500003,3.788000107,4,3.52309823,3.18772006,77.83374786
113,Moldova,MDA,1,4207.8701,0.70099998,3.555000067,6.400000095,3.163065434,7.467840195,76.86421204
146,St Lucia,LCA,10,11095.8,0.73500001,0.166999996,,,4.901659966,77.71405792
